DocURL	DocID	SentID	Reste von Hefezopf und Toast , oder Brötchen . Dazu zwischen jede Lage	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.hros-sittensen.de/html/body_vitamienreicher_snack.html	6cec7932c80832c921ba019bfa12dd00dc52	7	Initiator war der Förderverein der Haupt - und Realschule , der die insgesamt 28 Kilogramm Äpfel beim örtlichen Bauernladen zu einem günstigen Preis erworben hatte . Hanna Rehfinger und Sibylle Heins stellten sich als "	Äpfelschneiderinnen	" zur Verfügung und wurden von dem Ansturm nahezu überrollt . Fördervereinsvorsitzende Petra Renk zog nach dem erfolgreichen " Probelauf " ein positives Fazit : " Die Kinder haben die Aktion richtig gut angenommen , so dass wir sie in 14 Tagen wiederholen wollen .	Pl	Ind	Apfel	U	1
http://literaturlexikon.uni-saarland.de/index.php?id=3563	166b7c77c20554f0a91112f05cc8ab299c19	20	Als Vater von Serpentina verspricht der Archivarius ihm , dass er seine Liebe nach Herzenslust sehen kann , wenn er nur endlich die Stelle als Abschreiber antritt . Mit einem " goldgelben Liquor " aus Lindhorsts Hand überwindet Anselmus das	Äpfelweib	an der Haustür ( 257 ) . Nachdem er allerlei Mysterien in Lindhorsts Haus bewundert hat , beginnt er seine Kopierarbeiten .	Sg	Ind	Apfel	U	1
http://www.gartenpflanzen-pflege.de/2008/11	f77e15e9c4f6de98dc1e8a18ad47532844ee	27	Zu welcher Zeit dürfen Hecken nicht geschnitten werden ? wan dürfen hecken geschnitten werden wann sollten hecke geschnitten werden wie lange dürfen hecken geschnitten werden November 28 , 2008 | Posted by : admin | Posted in : Uncategorized | Bookmark this post | Tags : Hecken , Zeit	Äpfellagerung	in Garage - bis zu welchem Kältegrad ? 5 Ich packe meine Äpfel in gelochte Folienbeutel und lege diese dann in Kisten - nur nebeneinander , nicht aufeinander .	Sg	Ind	Apfel	U	1
http://www.schoene-muellerin.de/keltern.htm	527e0140199899e2e4c278c04bb72d92a69a	8	Denn die Mischung macht den Geschmack aus . Zwar werden in manchen Äpfelweinlokalen auch sortenreine	Äpfelweine	angeboten - diese werden dann ausschließlich aus einer Sorte - z.B. Roter Boskop , Schafsnase oder Winter-Rambur gepresst - aber es handelt sich hierbei um Spezialitäten aus dem Grundstoff Apfel . Für die Herstellung eines " typischen " Äpfelweins sollte man möglichst viele verschiedene Sorten miteinander mischen - für das Ergebnis eines schmackhaften Äpfelweins , wie wir ihn kennen und lieben .	Pl	Ind	Apfel	U	1
http://www.travelhomepage.de/namibia/nam7.htm	af748f18da3fd96fd99f3a37111b5bf3fb70	12	Sie freut sich über unseren Besuch und bietet uns frischen Pfannkuchen an . Ich bestelle einen Apfel-Pfannkuchen und bekomme eine Crepes-Rolle mit einer Füllung aus gestiftelten	Äpfelstücken	. Okay , schmeckt auch .	Pl	Ind	Apfel	U	1
http://www.muse-forschung.de/texte/fred/fred.htm	e6b06ada9c2fc28e11c559de18365ccaeb48	87	F. : Ja , und da war das einfach noch so mit dem dritten Bild zusammen , das war , das hab ' ich so Armageddon ( laut und betont ) genannt Anm. 4 ) , diese Meteorenstücke . Und da waren da so ein bisschen von diesen	Äpfelteilen	, die da sind ; so ' n bisschen zerfetzt , waren die . Und da war noch so ' n Teil , da habe ich so ' n zerfetztes Flugzeug drin gesehen .	Pl	Ind	Apfel	U	1
http://www.hofkirchen.at/artikel.shtml?newsid=8212	471bb7dc8db454ac6ea21b0a6fc9fafaf241	5	Zusätzlich gibts natürlich ein gesundes und g ' schmackiges Apfelrezept . Der Arbeitskreis der Gesunden Gemeinde freut sich bereits auf die	Äpfelverteilung	! Quelle : Stefanie Karl ( 05.11.2012 ) Zurück zur Übersicht HOME INSIDERTIPPS FLUGSPECIALS STOPOVER UNTERKUNFT WORK & TRAVEL TOUREN TRANSPORT MAGAZIN BUNDESSTAATEN ADVENTURE-KURSE SPRACHKURSE NEWS ÜBER UNS SHOP / Buchen > Home > Magazin > News aus Australien > Newsartikel Australien News aus Australien < -- vorherige News nächste News -- > 28.10.2011 - Sydney Australien hat die schönsten Strände der Welt Der Australier an sich wusste es ja schon immer , aber jetzt haben es auch Experten bestätigt - Australien hat die schönsten Stände der Welt .	Sg	Coll	Apfel	U	1
http://www.aaleninfo.de/okt08/30/partner.htm	af61e1fc70e5235fc38f2aaee4244f9f8bc4	58	Sonst hast Du nicht genug Geld , um die Äpfel gegen Schmmel zu spritzen . 11.05.2010 10:01 # 7977 Zitat von : NAHAL Hans , Wenn Du Deine	Äpfelernte	verkaufst , bevor die Äpfel reif sind , ist das immer noch " Realwirtschaft " . Sonst hast Du nicht genug Geld , um die Äpfel gegen Schmmel zu spritzen .	Sg	?	Apfel	U	1
http://www.wodanserben.de/board/offenheit-f%C3%BCr-authentisches-heidentum/thema792-2.html	7a84dae7d252e1209cfe1e99f28ccf8eac86	183	Und wenn es nicht sinnvoll ist , sollte man so eine Veränderung auch nicht akzeptieren . Schon die Glaskugeln sind ja doch auch einwenig Verfälschung : Man kann sie nicht mehr wie einen Apfel pflücken und essen ( die Äpfel am Weihnachtsbaum wurden meist am 12. Jultag gegessen ) , viele Menschen hängen sich Glaskugeln auf und wissen gar nicht mehr , daß es	Äpfelersätze	sind . Durch die Veränderung ist also eine Entfremdung vom Ursprünglichen , natürlichen erfolgt und das Wissen über die Äpfel am Welt - und Weihnachtsbaum verwässert worden .	Pl	Ind	Apfel	U	1
http://www.tourist-online.de/hotels/hotel-rumaenien.html	76e5b1b2351110fe2b62db70a3ab115f6f09	11	Das Hotel hat von 4 Gästen 8.5 von 10 Punkten ... [ Detailbeschreibung ] Siebenbürgen-Transilvania Nösen-Nussendorf - Bistrita-Nasaud Alt - Olt Preise : siehe Detailbeschreibung + 21 Fotos 5.0 / 5 Pension Äpfelhaus in Arad mit 10 Zimmern und 3 Sternen , Arad , Westheide - Câmpia de Vest , Crisana , Rumänien [ 578004 ] Ort : Arad Region : Westheide - Câmpia de Vest Die Unterkunft Pension	Äpfelhaus	verfügt über 10 Zimmer und hat 3 Sterne . Die Pension liegt in Arad in der Region Crisana , Arad , Westheide - Câmpia de Vest , Rumänien 20 Gäste haben die Pension mit 8.5 von 10 Punkten bewertet .	Sg	Ind	Apfel	U	1
