Familie	887447
Sonne	807800
Kirche	641763
Studie	561938
Straße	522130
Kunde	513254
Spitze	455916
Klasse	440414
Seite	439979
Auge	379102
Gruppe	372805
Masse	327634
Stelle	270109
Marke	265396
Rente	262191
Pflanze	238080
Waffe	231752
Bauer	230287
Tabelle	229975
Karte	223443
Ware	221308
Höhe	219133
Aufgabe	216244
Tasche	215421
Riese	212163
Reihe	203686
Immobilie	198195
Küche	191996
Blume	183244
Maschine	178615
Gedanke	178302
Katze	176745
Schütze	174414
Aktie	169395
Woche	167664
Serie	167101
Bühne	164188
Interesse	160608
Rolle	153237
Krise	152973
Droge	152147
Kasse	147024
Platte	142640
Spende	135099
Strecke	132212
Größe	128611
Stunde	127778
Halle	124934
Küste	124652
Rose	122368
Branche	114524
Fläche	112883
Börse	111976
Treppe	110149
Experte	101290
Seele	100726
Kette	100518
Akte	95101
Welle	94412
Blüte	94297
Dame	93635
Lunge	92849
Brücke	92265
Oberfläche	91648
Hexe	87599
Kohle	86915
Oper	86581
Note	86030
Linie	85549
Anlage	85357
Nase	85342
Olive	83900
Gitarre	83247
Quelle	77951
Bombe	73736
Chance	72368
Idee	72059
Grundlage	71216
Pause	70741
Meile	69929
Zitrone	68746
Biene	68356
Tiefe	67792
Wolke	66392
Niere	65992
Löwe	65554
Schiene	63688
Taste	61410
Hose	61348
Wüste	59663
Katastrophe	59276
Ressource	58198
Jude	57306
Breite	55677
Schwelle	54075
Wiese	53544
Glocke	52403
Decke	52206
Anzeige	50845
Flasche	50338
Liste	50017
Höhle	49004
Stimme	48617
Scheibe	48357
Visite	48110
Seide	47521
Puppe	47289
Mühle	46743
Lippe	46679
Same	46365
Blase	46032
Heilige	45650
Farbe	45287
Beamte	44917
Toilette	43651
Rakete	43629
Milliarde	42900
Kerze	42800
Behörde	42693
Eiche	42006
Gnade	41270
Probe	41182
Antenne	41093
Leiche	41025
Linde	40364
Fliege	40303
Truppe	40083
Schraube	39788
Zigarette	39653
Hütte	39630
Hölle	38366
Fassade	38156
Waise	37622
Schokolade	37366
Sünde	37301
Route	37259
Zeuge	37042
Kurve	36885
Hase	36561
Welpe	36473
Lampe	36458
Fahne	36304
Ziege	36168
Tomate	35819
Orange	35502
Methode	34935
Pate	34595
Tanne	34155
Erde	34155
Tinte	34096
Rate	33498
Röhre	33422
Stufe	33412
Schlange	33404
Seife	33342
Brille	33161
Zeile	32886
Sekunde	32771
Rasse	32734
Sklave	32647
Laie	32441
Menge	32271
Krippe	31533
Freude	31190
Sachverständige	30970
Klappe	30970
Maßnahme	30813
See	30462
Weide	30454
Mine	30370
Terrasse	30312
Phase	29847
Schnecke	29775
Affe	29749
Dose	29157
Banane	29133
Traube	29104
Träne	28780
Weiche	28267
Nummer	28262
Koralle	27723
Watte	27661
Flamme	27598
Festplatte	27584
Runde	27051
Galle	26740
Rampe	26615
Minute	26600
Zunge	26217
Folie	25471
Birke	25361
Ente	25241
Garage	25030
Prämie	25021
Kalorie	24916
Nische	24399
Ratte	24213
Konsole	24073
Stadtverordnete	24021
Suppe	23990
Alge	23896
Etappe	23818
Bote	23553
Ochse	23444
Kanone	23324
Sprache	23202
Buchstabe	23091
Devise	22967
Frage	22728
Ausgabe	22598
Pumpe	22511
Bakterie	22167
Abgabe	21866
Kante	21834
Tatsache	21764
Baustelle	21760
Länge	21522
Rabe	21470
Fliese	21412
Maske	21234
Szene	21123
Hirte	20920
Quote	20751
Heide	20620
Latte	20588
Spinne	20578
Grube	20522
Asche	20462
Flotte	20435
Taube	20276
Perle	20092
Buche	20047
Junge	20040
Sparkasse	19762
Kabine	19735
Ameise	19665
Elfe	19590
Kneipe	19526
Krone	19266
Sitte	19187
Linse	19160
Gebärde	19084
Säule	19041
Mücke	18988
Posaune	18957
Vorrunde	18921
Kampagne	18686
Medaille	18435
Lüge	18413
Blende	18321
Koordinate	18033
Saite	18008
Ursache	17947
Felge	17675
Palme	17634
Hecke	17622
Vene	17591
Falte	17555
Düse	17395
Aue	17240
Gilde	17184
Zecke	17069
Hausaufgabe	17023
Eule	16933
Lücke	16892
Gurke	16539
Stube	16485
Bande	16477
Jungfer	16391
Hülse	16355
Falke	16221
Apotheke	15935
Kiefer	15913
Rune	15758
Mode	15721
Düne	15639
Schale	15634
Pauke	15617
Wirbelsäule	15584
Backe	15462
Fichte	15212
Bohne	15192
Wade	15175
Schleuse	15153
Lende	15051
Name	14999
Gaststätte	14951
Zelle	14867
Piste	14682
Geschichte	14411
Urkunde	14355
Panne	14332
Erbse	14250
Krankenkasse	14228
Kastanie	14193
Flöte	14018
Rippe	13969
Urne	13921
Premiere	13899
Narbe	13780
Nibelunge	13726
Torte	13659
Leiste	13609
Feige	13511
Trasse	13481
Knabe	13434
Götze	13398
Gerste	13320
Sorte	13257
Rübe	13112
Laterne	13107
Spalte	12960
Ebene	12901
Kassette	12846
Beere	12835
Pinie	12821
Klinge	12768
Geige	12752
Flanke	12541
Lawine	12409
Ziffer	12389
Sekte	12337
Wespe	12294
Einlage	12109
Zone	12056
Steppe	11994
Pute	11944
Forelle	11853
Stange	11844
Wimper	11807
Herde	11798
Pfeife	11763
Fee	11699
Seuche	11684
Dividende	11594
Sehne	11513
Orchidee	11459
Pyramide	11417
Staude	11403
Tankstelle	11355
Funke	11335
Würde	11290
Tapete	11207
Fuge	11187
Bulle	11057
Ferse	11055
Locke	10954
Sparte	10938
Jacke	10927
Briefmarke	10815
Rute	10812
Kaserne	10782
Nonne	10779
Rinde	10622
Zehe	10592
Türke	10541
Sage	10537
Rückrunde	10483
Erbe	10446
Mikrowelle	10409
Scheune	10378
Friese	10343
Schwester	10157
Zielgruppe	10036
Tablette	9935
Fahrkarte	9919
Etage	9916
Nabe	9913
Richtlinie	9890
Erle	9890
Komponente	9842
Angestellte	9816
Binse	9713
Auflage	9711
Nymphe	9691
Schallplatte	9673
Masche	9657
Wange	9613
Scherbe	9530
Achse	9287
Periode	9263
Historie	9261
Invalide	9190
Chemikalie	9164
Turbine	9162
Älteste	9033
Klinke	9024
Zigarre	8965
Adresse	8888
Gasse	8819
Schärfe	8805
Junggeselle	8785
Wanne	8704
Ruine	8687
Synagoge	8645
Sippe	8634
Pore	8620
Speise	8582
Perspektive	8474
Trompete	8415
Pfaffe	8408
