N1	With_Ppot	With_PexpLE	With_PexpCompound	With_PexpCorpus	With_Ftype	With_Ftoken	With_Fhapax	Without_Ppot	Without_PexpLE	Without_PexpCompound	Without_PexpCorpus	Without_Ftype	Without_Ftoken	Without_Fhapax	N1alone_Ftoken	N1alone_Fband	LE
Rad	0.0311209907907272	0.022523557802804	6.46258525831547e-05	6.90947964744028e-06	402	6298	196	0.00210274462215693	0.000402835282723543	0.000282243519444798	3.017609478678e-05	2480	407087	856	435287	10	+=er
Schloss	0.0229965156794425	0.0113766950126408	3.26426500292465e-05	3.48999227090096e-06	204	4305	99	0.00405131667792032	0.00030777368563224	0.000215639324435628	2.30551004562548e-05	1878	161429	654	435047	10	+=er
Wurm	0.363636363636364	0.0142495977936107	4.08857434709754e-05	4.3713034504214e-06	169	341	124	0.0131937989145102	0.000207064864951354	0.000145078444574429	1.55110767595598e-05	974	33349	440	87601	12	+=er
Auge	0.00231336157551266	0.0037739096757536	0.00028916771793585	3.09163961775772e-05	2329	379102	877	0.01238438626744	7.4355110596168e-05	5.20963505517267e-05	5.5698866545692e-06	325	12758	158	2326607	7	+-n
Bauer	0.00385605787560739	0.00382124491684059	0.000292794679050211	3.13041730965661e-05	2406	230287	888	0.0211990725405764	0.000120474103244424	8.44092768433041e-05	9.02462647828934e-06	523	12076	256	358070	10	+-n
Birne	0.0374806800618238	0.00125223228693762	9.59496076617246e-05	1.0258462129618e-05	647	7764	291	0.0104551045510455	2.40007002557251e-05	1.6815910621127e-05	1.7978748062217e-06	131	4878	51	50816	13	+-n
Gitarre	0.00964599324900597	0.00345547259935022	0.000264768161348333	2.83077150861966e-05	1891	83247	803	0.0286074884307951	3.20009336743001e-05	2.24212141615026e-05	2.39716640829561e-06	132	2377	68	218060	11	+-n
Katze	0.00652918045772158	0.00496589711039869	0.000380501193270207	4.06813240466637e-05	3228	176745	1154	0.152380952380952	4.5177788716659e-05	3.1653478816239e-05	3.3842349293585e-06	153	630	96	648867	9	+-n
Kommune	0.274157303370787	0.000524990855692063	4.02262959956371e-05	4.30079855605976e-06	182	445	122	0.135095447870778	4.32953808534649e-05	3.03345838655624e-05	3.24322514063523e-06	156	681	92	342277	10	+-n
Kunde	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+-n
Schwester	0.0271733779659348	0.00118768423090991	9.10037515966872e-05	9.72967542190569e-06	628	10157	276	0.0120224037672577	0.000158592862474105	0.000111116899594506	1.18800746999356e-05	813	28031	337	517515	9	+-n
Sonne	0.001218123297846	0.00423435247541795	0.00032444815786645	3.46884080259246e-05	3179	807800	984	0.0285516525350407	7.76493243567577e-05	5.44044167154108e-05	5.81665378483493e-06	333	5779	165	829062	9	+-n
Bett	0.0178151811574403	0.00725670020479031	0.000107489938480145	1.14922977809466e-05	739	18299	326	0.00467228733261987	0.000252713255633811	0.000177061647128337	1.89305641360991e-05	1280	114933	537	576847	9	+-en
Bucht	0.144927536231884	0.00133558899474668	1.97834242601494e-05	2.11514683084906e-06	111	414	60	0.143928035982009	4.5177788716659e-05	3.1653478816239e-05	3.3842349293585e-06	162	667	96	100347	12	+-en
Dämon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+-en
Eigenschaft	0.0394814378314673	0.00149140771080046	2.20914904238335e-05	2.36191396111479e-06	120	1697	67	0.0231105559025609	8.70613636727283e-05	6.0998891468794e-05	6.52170272845128e-06	436	8005	185	547511	9	+-en
Frau	0.00259764853115532	0.0280918885228386	0.000416111356938476	4.4488588342192e-05	3864	485824	1262	0.0235294117647059	5.9295847690615e-05	4.15451909463137e-05	4.44180834478303e-06	226	5355	126	5490907	6	+-en
Hemd	0.0721526535480024	0.00269343780607248	3.98965722579679e-05	4.26554610887895e-06	243	1677	121	0.0202250856304029	5.83546437590179e-05	4.08857434709754e-05	4.3713034504214e-06	234	6131	124	91737	12	+-en
Nation	0.0397456279809221	0.00389546790134449	5.77016540921024e-05	6.1691782566431e-06	350	4403	175	0.052970297029703	5.03544103404429e-05	3.52804399305997e-05	3.7720118483475e-06	220	2020	107	335022	10	+-en
Ohr	0.0130546050550651	0.0101059567269166	0.000149694576901797	1.60046110200913e-05	1069	34777	454	0.00408632118107864	0.000204241253156563	0.000143100102148414	1.52995620764749e-05	1086	106208	434	538597	9	+-en
Person	0.00284708277171073	0.0138233460956282	0.000204758441092546	2.18917696992878e-05	1737	218118	621	0.0554934823091248	7.01196929039812e-05	4.91288369127043e-05	5.25261462994184e-06	283	2685	149	2539720	7	+-en
Projektor	0.205314009661836	0.00189208440922447	2.80265177018783e-05	2.99645801036951e-06	134	414	85	0.105439892545332	7.38845086303695e-05	5.17666268140576e-05	5.53463420738838e-06	304	1489	157	32708	13	+-en
